objectid,area_name,hood_id,neighborhood_id,popn_proj_2022,shape__area,shape__length
93,The Beaches,63,117,22880,3595720.49707031,11297.1745503364
152,Thistletown-Beaumond Heights,3,118,10533,3339551.79443359,10828.6019642605
130,Thorncliffe Park,55,119,22363,3126357.39526367,7503.56616251055
106,Trinity-Bellwoods,81,120,17578,1729614.9519043,5343.06066245195
80,University,79,121,7449,1405204.48974609,4971.74287872094
110,Victoria Village,43,122,18459,4755237.68432617,11802.1971329067
26,West Hill,136,124,28941,9625560.30126953,14978.349421616
154,West Humber-Clairville,1,125,35983,30145338.6953125,27923.9623546991
118,Westminster-Branson,35,126,27570,3667829.27368164,11497.2924973718
75,Weston,113,127,19571,2565620.93432617,10202.5083680584
70,Wexford/Maryvale,119,129,29642,10264126.5454102,14186.7996548557
116,Willowdale West,37,131,19225,2883426.36987305,7476.86603143662
148,Willowridge-Martingrove-Richview,7,132,23811,5517456.67089844,12059.183157938
92,Woodbine Corridor,64,134,13232,1595664.35424805,5428.0214391352
96,Woodbine-Lumsden,60,135,8141,1196277.16210938,4871.17839609936
64,Wychwood,94,136,14464,1682041.61889648,5434.89667890637
58,Yonge-Eglinton,100,137,13421,1650361.89648438,5685.35580537573
61,Yonge-St.Clair,97,138,13698,1161370.64404297,5873.15938446274
122,Yorkdale-Glen Park,31,139,16769,6038309.42163086,10079.377513198
126,York University Heights,27,140,29652,13246479.2902832,18511.6920550822
10,Avondale,153,141,15800,1031682.44824219,5253.84814553316
6,Bay-Cloverhill,169,142,18530,690548.701660156,3359.58312047522
49,Bendale South,157,143,10882,2543590.96411133,7242.17369795795
7,Bendale-Glen Andrew,156,144,20495,4913225.27099609,9230.79985729401
39,Church-Wellesley,167,145,22245,556185.242431641,3151.47798806848
3,Dovercourt Village,172,146,13789,1503002.17724609,4965.49640387863
8,Downsview,155,147,16887,8282833.33349609,14053.3015191319
38,Downtown Yonge East,168,148,17135,808531.192626953,4251.56731353001
15,East L'Amoreaux,148,149,23665,3694316.33666992,8619.11864586503
11,East Willowdale,152,150,17974,3513794.24975586,7758.01610045231
47,Etobicoke City Centre,159,151,24748,10134665.5161133,17420.2684747147
13,Fenside-Parkwoods,150,152,22516,3315516.38037109,10299.7153179893
43,Fort York-Liberty Village,163,153,21328,2339540.36010742,9924.96371304914
